,movie_name,movie_duration,movie_genre,movie_director,movie_release_year
0,Nhà tù Shawshank,142.0,Drama,Frank Darabont,1994.0
1,Bố Già,175.0,Crime,Francis Ford Coppola,1972.0
2,Kỵ Sĩ Bóng Đêm,152.0,Action,Christopher Nolan,2008.0
3,Bố Già Phần II,202.0,Crime,Francis Ford Coppola,1974.0
4,12 Người Đàn Ông Giận Dữ,96.0,Crime,Sidney Lumet,1957.0
5,Bản Danh Sách Của Schindler,195.0,Biography,Steven Spielberg,1993.0
6,Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,201.0,Action,Peter Jackson,2003.0
7,Chuyện Tào Lao,154.0,Crime,Quentin Tarantino,1994.0
8,Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,178.0,Action,Peter Jackson,2001.0
9,"Thiện, Ác, Tà",161.0,Adventure,Sergio Leone,1966.0
10,Cuộc Đời Forrest Gump,142.0,Drama,Robert Zemeckis,1994.0
11,Sàn Đấu Sinh Tử,139.0,Drama,David Fincher,1999.0
12,Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,179.0,Action,Peter Jackson,2002.0
13,Kẻ Đánh Cắp Giấc Mơ,148.0,Action,Christopher Nolan,2010.0
14,Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,124.0,Action,Irvin Kershner,1980.0
15,Ma Trận,136.0,Action,Lana Wachowski,1999.0
16,Chiến Hữu,145.0,Biography,Martin Scorsese,1990.0
17,Bay Trên Tổ Chim Cúc Cu,133.0,Drama,Milos Forman,1975.0
18,7 Tội Lỗi Chết Người,127.0,Crime,David Fincher,1995.0
19,Cuộc Sống Tươi Đẹp,130.0,Drama,Frank Capra,1946.0
20,Bảy Võ Sĩ Đạo,207.0,Action,Akira Kurosawa,1954.0
21,Hố Đen Tử Thần,169.0,Adventure,Christopher Nolan,2014.0
22,Sự Im Lặng Của Bầy Cừu,118.0,Crime,Jonathan Demme,1991.0
23,Giải Cứu Binh Nhì Ryan,169.0,Drama,Steven Spielberg,1998.0
24,Thành Phố Của Chúa,130.0,Crime,Fernando Meirelles,2002.0
25,Cuộc Sống Tươi Đẹp,116.0,Comedy,Roberto Benigni,1997.0
26,Dặm Xanh,189.0,Crime,Frank Darabont,1999.0
27,Người Nhện: Du Hành Vũ Trụ Nhện,140.0,Animation,Joaquim Dos Santos,2023.0
28,Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,121.0,Action,George Lucas,1977.0
29,Kẻ Hủy Diệt 2: Ngày Phán Xét,137.0,Action,James Cameron,1991.0
30,Trở Về Tương Lai,116.0,Adventure,Robert Zemeckis,1985.0
31,Vùng Đất Linh Hồn,125.0,Animation,Hayao Miyazaki,2001.0
32,Nghệ Sĩ Dương Cầm,150.0,Biography,Roman Polanski,2002.0
33,Tâm Thần Hoảng Loạn,109.0,Horror,Alfred Hitchcock,1960.0
34,Ký Sinh Trùng,132.0,Drama,Bong Joon Ho,2019.0
35,Võ Sĩ Giác Đấu,155.0,Action,Ridley Scott,2000.0
36,Vua Sư Tử,88.0,Animation,Roger Allers,1994.0
37,Léon: Sát Thủ Chuyên Nghiệp,110.0,Action,Luc Besson,1994.0
38,Lịch Sử Mĩ Thế Kỉ X,119.0,Crime,Tony Kaye,1998.0
39,Điệp Vụ Boston,151.0,Crime,Martin Scorsese,2006.0
40,Tay Trống Cự Phách,106.0,Drama,Damien Chazelle,2014.0
41,Ảo Thuật Gia Đấu Trí,130.0,Drama,Christopher Nolan,2006.0
42,Mộ Đom Đóm,89.0,Animation,Isao Takahata,1988.0
43,Nghi Phạm Vô Hình,106.0,Crime,Bryan Singer,1995.0
44,Seppuku,133.0,Action,Masaki Kobayashi,1962.0
45,Chuyện Tình Thế Chiến,102.0,Drama,Michael Curtiz,1942.0
46,Những Kẻ Bên Lề,112.0,Biography,Olivier Nakache,2011.0
47,Thời Đại Tân Kỳ,87.0,Comedy,Charles Chaplin,1936.0
48,Rạp Chiếu Bóng Thiên Đường,155.0,Drama,Giuseppe Tornatore,1988.0
49,Thưở Ấy Miền Viễn Tây,166.0,Western,Sergio Leone,1968.0
50,Vụ Án Mạng Nhà Bên,112.0,Mystery,Alfred Hitchcock,1954.0
51,Quái Vật Không Gian,117.0,Horror,Ridley Scott,1979.0
52,Ánh Sáng Đô Thị,87.0,Comedy,Charles Chaplin,1931.0
53,Lời Sấm Truyền,147.0,Drama,Francis Ford Coppola,1979.0
54,Hành Trình Django,165.0,Drama,Quentin Tarantino,2012.0
55,Kẻ Mất Trí Nhớ,113.0,Mystery,Christopher Nolan,2000.0
56,Indiana Jones Và Chiếc Rương Thánh Tích,115.0,Action,Steven Spielberg,1981.0
57,Rô-bốt Biết Yêu,98.0,Animation,Andrew Stanton,2008.0
58,Khoảnh Khắc Cuộc Đời,137.0,Drama,Florian Henckel von Donnersmarck,2006.0
59,Sunset Blvd.,110.0,Drama,Billy Wilder,1950.0
60,Đường Tới Vinh Quang,88.0,Drama,Stanley Kubrick,1957.0
61,Oppenheimer,180.0,Biography,Christopher Nolan,2023.0
62,Avengers: Cuộc Chiến Vô Cực,149.0,Action,Anthony Russo,2018.0
63,Ngôi Nhà Ma,146.0,Drama,Stanley Kubrick,1980.0
64,Người Nhện: Vũ Trụ Mới,117.0,Animation,Bob Persichetti,2018.0
65,Nhân Chứng Buộc Tội,116.0,Crime,Billy Wilder,1957.0
66,Nhà Độc Tài Vĩ Đại,125.0,Comedy,Charles Chaplin,1940.0
67,Quái Vật Không Gian 2,137.0,Action,James Cameron,1986.0
68,Định Mệnh,153.0,Adventure,Quentin Tarantino,2009.0
69,Kỵ Sĩ Bóng Đêm Trỗi Dậy,164.0,Action,Christopher Nolan,2012.0
70,Vẻ Đẹp Mỹ,122.0,Drama,Sam Mendes,1999.0
71,Tiến Sĩ Strangelove,95.0,Comedy,Stanley Kubrick,1964.0
72,Oldboy: Báo Thù,120.0,Action,Park Chan-wook,2003.0
73,Coco: Hội Ngộ Diệu Kỳ,105.0,Animation,Lee Unkrich,2017.0
74,Sự Đố Kỵ Của Thiên Tài,160.0,Biography,Milos Forman,1984.0
75,Câu Chuyện Đồ Chơi,81.0,Animation,John Lasseter,1995.0
76,Trận Chiến Tàu Ngầm,149.0,Drama,Wolfgang Petersen,1981.0
77,Trái Tim Dũng Cảm,178.0,Biography,Mel Gibson,1995.0
78,Avengers: Hồi Kết,181.0,Action,Anthony Russo,2019.0
79,Joker,122.0,Crime,Todd Phillips,2019.0
80,Công Chúa Mononoke,134.0,Animation,Hayao Miyazaki,1997.0
81,Chàng Will Tốt Bụng,126.0,Drama,Gus Van Sant,1997.0
82,Tên Cậu Là Gì?,106.0,Animation,Makoto Shinkai,2016.0
83,Nước Mỹ Một Thời,229.0,Crime,Sergio Leone,1984.0
84,Tengoku to jigoku,143.0,Crime,Akira Kurosawa,1963.0
85,3 Chàng Ngốc,170.0,Comedy,Rajkumar Hirani,2009.0
86,Hát Dưới Mưa,103.0,Comedy,Stanley Donen,1952.0
87,Capharnaüm,126.0,Drama,Nadine Labaki,2018.0
88,Nguyện Cầu Cho Một Giấc Mơ,102.0,Drama,Darren Aronofsky,2000.0
89,Đến Mà Xem,142.0,Drama,Elem Klimov,1985.0
90,Câu Chuyện Đồ Chơi 3,103.0,Animation,Lee Unkrich,2010.0
91,Chiến Tranh Giữa Các Vì Sao Tập 6: Sự Quay Trở Lại Của Jedi,131.0,Action,Richard Marquand,1983.0
92,Tia Nắng Vĩnh Cửu Của Tâm Hồn Tinh Khiết,108.0,Drama,Michel Gondry,2004.0
93,2001: Chuyến Du Hành Không Gian,149.0,Adventure,Stanley Kubrick,1968.0
94,Cuộc Săn Lùng,115.0,Drama,Thomas Vinterberg,2012.0
95,Những Kẻ Phản Bội,99.0,Crime,Quentin Tarantino,1992.0
96,Ikiru,143.0,Drama,Akira Kurosawa,1952.0
97,Lawrence Xứ Ả Rập,218.0,Adventure,David Lean,1962.0
98,Căn Hộ Tình Yêu,125.0,Comedy,Billy Wilder,1960.0
99,Công Dân Kane,119.0,Drama,Orson Welles,1941.0
100,M - Eine Stadt sucht einen Mörder,117.0,Crime,Fritz Lang,1931.0
101,Bắc Tây Bắc,136.0,Action,Alfred Hitchcock,1959.0
102,Quay Cuồng,128.0,Mystery,Alfred Hitchcock,1958.0
103,Double Indemnity,107.0,Crime,Billy Wilder,1944.0
