movie_name,movie_duration,movie_genre,movie_director,movie_release_year
Leave No Trace,108,Drama,DebraGranik,2018
Toy Story 2,92,Kids & Family,"AshBrannon,JohnLasseter",1999
Man on Wire,90,Documentary,JamesMarsh,2008
Honeyland,85,Documentary,"LjuboStefanov,TamaraKotevska",2019
Sound City,108,Documentary,DaveGrohl,2013
Minding the Gap,93,Documentary,BingLiu,2018
His House,93,Horror,RemiWeekes,2020
The Philadelphia Story,112,Romance,GeorgeCukor,1940
Crip Camp,107,Documentary,"JamesLebrecht,NicoleNewnham",2020
76 Days,93,Documentary,"HaoWu,WeixiChen",2021
Summer 1993,98,Drama,CarlaSimón,2018
Toy Story,80,Kids & Family,JohnLasseter,1995
The Tale of the Princess Kaguya,137,Fantasy,IsaoTakahata,2014
One Cut of the Dead,96,Comedy,ShinichiroUeda,2019
Rewind,86,Documentary,SashaNeulinger,2020
Taxi to the Dark Side,106,Documentary,AlexGibney,2008
Welcome to Chechnya,107,Documentary,DavidFrance,2020
Hive,84,Drama,BlertaBasholli,2021
Deliver Us From Evil,103,Documentary,AmyBerg,2006
Poetry,139,Drama,LeeChang-dong,2012
Waste Land,98,Documentary,"LucyWalker,KarenHarley",2010
The Square,105,Mystery & Thriller,NashEdgerton,2010
Coup 53,118,Documentary,TaghiAmirani,2020
The Terminator,108,Sci-Fi,JamesCameron,1984
The Janes,101,Documentary,"TiaLessin,EmmaPildes",2022
Laura,90,Drama,JohnLlewellynMoxey,
Stop Making Sense,88,Documentary,JonathanDemme,1984
Stalker,,,UnknownDirector,
Playground,10,Drama,GuenMurroni,
Afghan Star,88,Documentary,HavanaMarking,2009
Slalom,92,Drama,CharlèneFavier,2021
Pinocchio,108,Kids & Family,RobertoBenigni,2002
Local Hero,110,Comedy,BillForsyth,1983
The Black Pirate,84,Adventure,AlbertParker,1926
Only Yesterday,118,Drama,IsaoTakahata,2019
Merci Docteur Rey,91,Comedy,AndrewLitvack,2002
Athlete A,103,Documentary,"BonniCohen,JonShenk",2020
Tampopo,114,Comedy,JuzoItami,1986
The Work,87,Documentary,"JairusMcLeary,GethinAldous",2017
Cool Hand Luke,129,Drama,StuartRosenberg,1967
Last Train Home,97,Adventure,RandyBradshaw,
One Missed Call,87,Horror,ÉricValette,2008
Left Behind: The Movie,,,VicSarin,
A Thousand Words,91,Comedy,BrianRobbins,2012
Gotti,116,Drama,RobertHarmon,
The Last Days of American Crime,149,Action,OlivierMegaton,2020
Jaws the Revenge,89,Mystery & Thriller,JosephSargent,1987
The Ridiculous 6,119,Comedy,FrankCoraci,2017
Dark Crimes,92,Crime,AlexandrosAvranas,2018
Stratton,95,Action,SimonWest,2018
London Fields,118,Mystery & Thriller,MathewCullen,2018
Return to the Blue Lagoon,102,Romance,WilliamGraham,2011
Problem Child,81,Comedy,DennisDugan,2015
Cabin Fever,102,Comedy,MonaJ.Hoel,2016
Staying Alive,96,Drama,SylvesterStallone,2013
The Disappointments Room,92,Horror,D.J.Caruso,2016
Redline,95,Action,AndyCheng,2007
Homecoming,88,Horror,MorganJ.Freeman,2009
Killing Me Softly,100,Mystery & Thriller,ChenKaige,2002
Scar,92,Horror,RahilBhorania,
Beneath the Darkness,97,Mystery & Thriller,MartinGuigui,2012
Max Steel,92,Sci-Fi,StewartHendler,2016
Cabin Fever,102,Comedy,MonaJ.Hoel,2016
Simon Sez,82,Action,KevinAlynElders,1999
Constellation,105,Drama,JordanWalker-Pearlman,2007
Stolen,90,Documentary,RebeccaDreyfus,
Derailed,107,Mystery & Thriller,MikaelHåfström,2005
Dark Tide,93,Mystery & Thriller,LucaBercovici,
Wagons East!,106,Comedy,PeterMarkle,2013
Folks!,106,Comedy,TedKotcheff,
